FRASE,,OBJ/SUBJ,POLARIDADE
"Os dois se mudam para uma casa com fama de má assombrada em Faetherbank, no interior e descobrem às duras penas que a residência possui relação com crimes macabros na cidade.",,objetiva,neutra
"Conta a historia de cada uma de seus momentos marcantes de tim tim por tim fala de os conflitos de uma amizade, de a tristeza quando acontece algo com alguma amiga ...",,objetiva,neutra
Vamos sonhar juntos traz uma análise do que esta crise pode nos ensinar sobre a maneira como lidamos com turbulências de qualquer tipo em nossas vidas e no mundo. ,,objetiva,neutra
"Ainda arrasado após a perda da esposa, Tom Kennedy se muda com o filho Jake para o pacato vilarejo de Featherbank, em busca de um recomeço mais do que necessário.",,objetiva,neutra
"Vinte anos antes, um pervertido assassino em série sequestrou e matou cinco meninos.",,objetiva,neutra
"Nesse livro se desenrola uma história onde o próprio assassino se torna vitima de seu plano, mas não porque tenha dado errado, mas pelo contrario, deu tão certo que quando ele quis contar a verdade ninguém, mas ninguém mesmo, acreditava nele.",,objetiva,neutra
"O livro em si trata de forma intensa a vida de um portador de transtorno mental, nos alerta quanto as maneiras de lidar com pessoas que passam por isso.",,objetiva,neutra
" Conheça sua trajetória desde a infância como escravo em Tatooine junto à mãe; o treinamento como Padawan para se transformar no Jedi escolhido para derrotar a Força e, por fim, como se deu a transição para o Lado Sombrio a fim de salvar seus entes queridos.",,objetiva,neutra
"O livro é um compilado de 10 contos peculiares (sério?) feito pelo estudioso de peculiaridades Millard Nullings, e retrata o folclore das crianças.",,objetiva,neutra
"Abordando técnicas que vão da psicanálise à meditação, o livro é um guia rápido para a transformação pessoal.",,objetiva,neutra
"O livro mostra basicamente três coisas que Hemingway mais gostava. Bebida, boemia e a força da natureza contra o homem.",,objetiva,neutra
"No início dos anos 1900, a adolescente Sunja, filha adorada de um pescador aleijado, apaixona-se perdidamente por um rico forasteiro na costa perto de sua casa, na Coreia.",,objetiva,neutra
"O país e o povo vivem em torpor, um torpor causado pela fome, pela falta de esperança, pela proximidade com a morte.",,objetiva,neutra
